Name;Username;Position;Party
Joe Biden;joebiden;Candidate;Democrat
Kamala Harris;senkamalaharris;Vice President Candidate;Democrat
Bernie Sanders;sensanders;Former Candidate;Democrat
Bernie Sanders;berniesanders;Former Candidate;Democrat
Elizabeth Warren;ewarren;Former Candidate;Democrat
Mike Bloomberg;mikebloomberg;Former Candidate;Democrat
Andrew Yang;andrewyang;U.S. Senator;Democrat
Kirsten Gillibrand;sengillibrand;U.S. Senator;Democrat
Cory Booker;CoryBooker;U.S. Senator;Democrat
Pete Buttigieg;petebuttigieg;The Speaker of Representatives;Democrat
Nancy Pelosi;SpeakerPelosi;Senior advisor;Democrat
Symone D. Sanders;SymoneDSanders;Senior advisor;Democrat
Karine Jean-Pierre;K_JeanPierre;U.S. Senate Majority Leader;Democrat
Chuck Schumer;SenSchumer;U.S. Senator;Democrat
Donald Trump;realdonaldtrump;Candidate;Rebuplican
Mike Pence;Mike_Pence;Vice President Candidate;Rebuplican
Melania Trump;FLOTUS;First Lady;Rebuplican
Katrina Pierson;KatrinaPierson;Senior advisor;Rebuplican
Brad Parscale;parscale;Senior advisor for digital and data operations;Rebuplican
Lara Trump;LaraLeaTrump;Senior advisor;Rebuplican
Kimberly Guilfoyle;kimguilfoyle;Senior advisor;Rebuplican
Jason Miller;JasonMillerinDC;Senior advisor;Rebuplican
 Thom Tillis;SenThomTillis;U.S. Senator;Rebuplican
 Roger Wicker;SenatorWicker;U.S. Senator;Rebuplican
Rob Portman;senrobportman;U.S. Senator;Rebuplican
Jerry Moran;JerryMoran;U.S. Senator;Rebuplican
Mitch McConnell;senatemajldr;U.S. Senate Majority Leader;Rebuplican
John Thune;SenJohnThune;U.S. Senator;Rebuplican
